iter	Passed	Remaining
419	2256	3115
420	2260	3108
421	2266	3103
422	2270	3097
423	2275	3090
424	2280	3085
425	2285	3079
426	2290	3073
427	2296	3068
428	2301	3063
429	2306	3056
430	2310	3050
431	2316	3045
432	2320	3038
433	2325	3032
434	2330	3027
435	2335	3021
436	2340	3014
437	2345	3009
438	2350	3003
439	2355	2998
440	2360	2991
441	2365	2986
442	2370	2980
443	2374	2973
444	2380	2968
445	2384	2962
446	2389	2956
447	2394	2950
448	2399	2944
449	2403	2938
450	2408	2931
451	2413	2925
452	2418	2920
453	2422	2913
454	2428	2908
455	2432	2902
456	2437	2896
457	2442	2890
458	2447	2884
459	2451	2878
460	2456	2872
461	2461	2866
462	2466	2860
463	2470	2854
464	2476	2849
465	2481	2843
466	2485	2836
467	2490	2831
468	2495	2825
469	2500	2819
470	2504	2813
471	2510	2808
472	2515	2802
473	2519	2795
474	2525	2790
475	2529	2785
476	2534	2779
477	2539	2773
478	2544	2767
479	2549	2761
480	2553	2755
481	2559	2750
482	2563	2744
483	2568	2738
484	2573	2733
485	2578	2727
486	2583	2721
487	2588	2715
488	2592	2709
489	2597	2703
490	2602	2697
491	2607	2692
492	2611	2685
493	2617	2680
494	2622	2675
495	2627	2669
496	2631	2663
497	2636	2658
498	2641	2652
499	2646	2646
500	2651	2640
501	2657	2635
502	2661	2629
503	2666	2623
504	2671	2618
505	2676	2613
506	2681	2607
507	2687	2602
508	2693	2597
509	2698	2592
510	2703	2587
511	2708	2581
512	2712	2575
513	2717	2569
514	2735	2576
515	2740	2570
516	2745	2564
517	2750	2558
518	2754	2553
519	2759	2546
520	2763	2541
521	2769	2535
522	2773	2529
523	2778	2524
524	2784	2518
525	2788	2512
526	2793	2506
527	2798	2501
528	2803	2496
529	2808	2490
530	2812	2484
531	2818	2479
532	2822	2473
533	2827	2467
534	2833	2462
535	2838	2456
536	2843	2451
537	2848	2446
538	2853	2440
539	2858	2434
540	2862	2428
541	2867	2423
542	2872	2417
543	2877	2411
544	2882	2406
545	2887	2400
546	2891	2394
547	2896	2389
548	2901	2383
549	2906	2377
550	2910	2371
551	2915	2366
552	2920	2360
553	2925	2354
554	2930	2349
555	2935	2343
556	2939	2338
557	2944	2332
558	2949	2326
559	2954	2321
560	2958	2315
561	2964	2310
562	2968	2304
563	2972	2298
564	2978	2293
565	2983	2287
566	2987	2281
567	2992	2276
568	2997	2270
569	3002	2264
570	3007	2259
571	3013	2254
572	3017	2248
573	3022	2243
574	3028	2238
575	3033	2232
576	3038	2227
577	3044	2222
578	3049	2217
579	3054	2211
580	3060	2207
581	3065	2201
582	3070	2195
583	3076	2191
584	3080	2185
585	3087	2181
586	3093	2176
587	3099	2171
588	3104	2166
589	3110	2161
590	3115	2156
591	3121	2150
592	3127	2146
593	3132	2141
594	3137	2135
595	3143	2131
596	3148	2125
597	3153	2120
598	3159	2115
599	3164	2109
600	3169	2104
601	3175	2099
602	3180	2094
603	3185	2088
604	3192	2084
605	3197	2078
606	3201	2073
607	3208	2068
608	3213	2063
609	3218	2057
610	3225	2053
611	3230	2047
612	3235	2042
613	3241	2037
614	3246	2032
615	3252	2027
616	3258	2022
617	3263	2017
618	3269	2012
619	3274	2006
620	3279	2001
621	3284	1995
622	3290	1990
623	3294	1985
624	3299	1979
625	3305	1974
626	3309	1968
627	3314	1963
628	3320	1958
629	3324	1952
630	3329	1946
631	3334	1941
632	3339	1935
633	3344	1930
634	3350	1925
635	3355	1920
636	3360	1914
637	3364	1909
638	3370	1904
639	3374	1898
640	3379	1892
641	3384	1887
642	3389	1881
643	3394	1876
644	3398	1870
645	3403	1864
646	3408	1859
647	3412	1853
648	3417	1848
649	3422	1843
650	3427	1837
651	3434	1833
652	3439	1827
653	3444	1822
654	3451	1817
655	3456	1812
656	3461	1807
657	3468	1802
658	3474	1797
659	3482	1793
660	3487	1788
661	3492	1783
662	3498	1778
663	3503	1772
664	3508	1767
665	3514	1762
666	3519	1756
667	3523	1751
668	3528	1745
669	3533	1740
670	3538	1734
671	3542	1729
672	3548	1723
673	3552	1718
674	3557	1712
675	3562	1707
676	3567	1702
677	3572	1696
678	3577	1691
679	3582	1686
680	3587	1680
681	3592	1675
682	3598	1669
683	3602	1664
684	3607	1658
685	3613	1654
686	3618	1648
687	3623	1643
688	3629	1638
689	3633	1632
690	3638	1626
691	3643	1621
692	3657	1620
693	3662	1614
694	3667	1609
695	3671	1603
696	3677	1598
697	3681	1592
698	3686	1587
699	3691	1582
700	3696	1576
701	3700	1570
702	3705	1565
703	3710	1560
704	3715	1554
705	3720	1549
706	3726	1544
707	3730	1538
708	3735	1533
709	3741	1528
710	3746	1522
711	3751	1517
712	3757	1512
713	3761	1506
714	3766	1501
715	3771	1495
716	3776	1490
717	3780	1484
718	3785	1479
719	3791	1474
720	3795	1468
721	3800	1463
722	3805	1457
723	3810	1452
724	3814	1446
725	3819	1441
726	3825	1436
727	3829	1430
728	3834	1425
729	3839	1420
730	3844	1414
731	3849	1409
732	3854	1404
733	3859	1398
734	3863	1393
735	3869	1388
736	3874	1382
737	3879	1377
738	3884	1371
739	3889	1366
740	3893	1361
741	3898	1355
742	3904	1350
743	3909	1345
744	3913	1339
745	3919	1334
746	3924	1329
747	3928	1323
748	3933	1318
749	3938	1312
750	3943	1307
751	3948	1302
752	3953	1296
753	3958	1291
754	3963	1286
755	3968	1280
756	3973	1275
757	3978	1270
758	3983	1264
759	3987	1259
760	3992	1253
761	3997	1248
762	4003	1243
763	4008	1238
764	4012	1232
765	4018	1227
766	4023	1222
767	4028	1216
768	4033	1211
769	4038	1206
770	4043	1201
771	4048	1195
772	4053	1190
773	4058	1185
774	4063	1179
775	4069	1174
776	4074	1169
777	4078	1163
778	4084	1158
779	4089	1153
780	4094	1148
781	4100	1143
782	4105	1137
783	4111	1132
784	4117	1127
785	4122	1122
786	4128	1117
787	4134	1112
788	4139	1106
789	4144	1101
790	4149	1096
791	4155	1091
792	4160	1086
793	4166	1080
794	4171	1075
795	4177	1070
796	4182	1065
797	4188	1060
798	4193	1055
799	4199	1049
800	4204	1044
801	4209	1039
802	4215	1034
803	4219	1028
804	4224	1023
805	4232	1018
806	4243	1014
807	4265	1013
808	4279	1010
809	4289	1006
810	4298	1001
811	4306	997
812	4312	991
813	4318	986
814	4325	981
815	4334	977
816	4342	972
817	4348	967
818	4354	962
819	4360	957
820	4366	951
821	4371	946
822	4377	941
823	4383	936
824	4388	930
825	4394	925
826	4399	920
827	4404	914
828	4409	909
829	4414	904
830	4419	898
831	4424	893
832	4430	888
833	4434	882
834	4440	877
835	4444	871
836	4449	866
837	4454	861
838	4458	855
839	4463	850
840	4468	844
841	4473	839
842	4478	834
843	4482	828
844	4488	823
845	4493	817
846	4497	812
847	4502	807
848	4507	801
849	4511	796
850	4515	790
851	4543	789
852	4553	784
853	4557	779
854	4562	773
