iter	MultiClass
0	1.181720411
1	1.041319536
2	0.9329781117
3	0.8513895131
4	0.7851594836
5	0.7297806023
6	0.6829622551
7	0.6451942014
8	0.610246407
9	0.5800152159
10	0.5540167275
11	0.5327821995
12	0.5121965383
13	0.4943519049
14	0.4775749677
15	0.462710113
16	0.4504136966
17	0.4398433207
18	0.4288025427
19	0.418536276
20	0.4096450636
21	0.401944507
22	0.3947627641
23	0.3885644611
24	0.3831116976
25	0.3767729731
26	0.3715866082
27	0.3667349059
28	0.3625187309
29	0.3589013409
30	0.3555563779
31	0.3529352878
32	0.3495913496
33	0.3461374685
34	0.3434782796
35	0.340265948
36	0.3378674437
37	0.3355962186
38	0.3334900029
39	0.3314308529
40	0.3293537816
41	0.327579687
42	0.3258320588
43	0.324658414
44	0.3234070981
45	0.32249013
46	0.3211997894
47	0.3197782986
48	0.3187028678
49	0.3174666231
50	0.3164987822
51	0.3150471089
52	0.3141999894
53	0.3132625739
54	0.312503235
55	0.3116690278
56	0.3108008408
57	0.3098948125
58	0.3091513573
59	0.307757866
60	0.3069271193
61	0.3061615483
62	0.3055981686
63	0.3048939937
64	0.3039399509
65	0.3034439652
66	0.3029234011
67	0.3021878147
68	0.3016909315
69	0.3010284031
70	0.3005124342
71	0.2998390462
72	0.2994062816
73	0.2987989181
74	0.2983435389
75	0.2978579336
76	0.2974693254
77	0.2967743758
78	0.296307339
79	0.2958906146
80	0.2956724257
81	0.2951842992
82	0.2948800219
83	0.2945709485
84	0.2941262498
85	0.2937407815
86	0.2933557447
87	0.29291794
88	0.2926020036
89	0.2921587071
90	0.2917848859
91	0.2915380913
92	0.29126726
93	0.2910243334
94	0.2908216325
95	0.2904370665
96	0.2902154264
97	0.2899994665
98	0.2897458888
99	0.2894441972
100	0.289264256
101	0.2890212132
102	0.2888950387
103	0.2885605702
104	0.2882288845
105	0.2880563071
106	0.2878760498
107	0.2874428641
108	0.2871374692
109	0.2870374561
110	0.2868128674
111	0.2865759462
112	0.2863806019
113	0.2862023562
114	0.2860208941
115	0.2855872626
116	0.2854677372
117	0.2851083725
118	0.2849471609
119	0.2847053495
120	0.2845453679
121	0.2844413422
122	0.2842918893
123	0.28417798
124	0.2839597962
125	0.2837322494
126	0.2835847309
127	0.2831952463
128	0.2830891897
129	0.2828305246
130	0.2826644193
131	0.282510013
132	0.2823188847
133	0.282140921
134	0.2818991762
135	0.2818013068
136	0.2815368044
137	0.2814006265
138	0.2811912217
139	0.2809013167
140	0.2807057108
141	0.2804519281
142	0.2802609513
143	0.2800378556
144	0.2798718066
